Sample	mRNAsi
MMRF_2213_1_BM_CD138pos_T2_TSMRU_L08165	0.622005436871628
MMRF_1856_1_BM_CD138pos_T2_TSMRU_L05335	0.491053464390742
MMRF_1944_1_BM_CD138pos_T2_TSMRU_L06009	0.427932129385324
MMRF_1393_1_BM_CD138pos_T3_TSMRU_L01343	0.347164684906112
MMRF_2236_1_BM_CD138pos_T2_TSMRU_L09791	0.526332063287296
MMRF_2362_1_BM_CD138pos_T3_TSMRU_L10065	0.480479687700124
MMRF_2732_1_BM_CD138pos_T2_TSMRU_L14990	0.459044808693086
MMRF_2820_1_BM_CD138pos_T2_TSMRU_L16047	0.420751834337448
MMRF_1721_1_BM_CD138pos_T2_TSMRU_L04568	0.480992270744247
MMRF_2742_1_BM_CD138pos_T2_TSMRU_L15001	0.578391433082123
MMRF_2449_1_BM_CD138pos_T2_TSMRU_L11503	0.422579054321947
MMRF_1499_1_BM_CD138pos_T1_TSMRU_L02345	0.659373544375718
MMRF_1403_1_BM_CD138pos_T3_TSMRU_L00392	0.498702764201441
MMRF_2017_1_BM_CD138pos_T2_TSMRU_L08166	0.413779639602302
MMRF_1947_1_BM_CD138pos_T2_TSMRU_L06627	0.568255692051036
MMRF_2580_1_BM_CD138pos_T2_TSMRU_L12692	0.452869195251622
MMRF_2763_1_BM_CD138pos_T2_TSMRU_L16019	0.390252554942638
MMRF_1359_1_BM_CD138pos_T3_TSMRU_L00403	0.703839284544292
MMRF_1470_1_BM_CD138pos_T1_TSMRU_L13134	0.535208210140461
MMRF_2122_1_BM_CD138pos_T2_TSMRU_L07659	0.455498424669402
